district_id,district_name,district_code,grp
8,DARJEELING,309,GRPA
15,PURBA MEDINIPUR,317,GRPA
21,KALIMPONG,702,GRPA
22,JHARGRAM,703,GRPA
5,PURBA BARDHAMAN,306,GRPB
13,JALPAIGURI,314,GRPB
20,ALIPURDUAR,664,GRPB
23,PASCHIM BARDHAMAN,704,GRPB
2,NORTH 24 PARGANAS,303,GRPC
3,SOUTH 24 PARGANAS,304,GRPC
6,BIRBHUM,307,GRPC
9,DAKSHIN DINAJPUR,310,GRPC
7,COOCH BEHAR,308,GRPD
10,UTTAR DINAJPUR,311,GRPD
14,MALDAH,316,GRPD
19,PURULIA,321,GRPD
4,BANKURA,305,GRPE
11,HOOGHLY,312,GRPE
16,PASCHIM MEDINIPUR,318,GRPE
17,MURSHIDABAD,319,GRPE
12,HOWRAH,313,GRPF
18,NADIA,320,GRPF
24,KOLKATA,35,GRPF
8,DARJEELING,309,GRPA
15,PURBA MEDINIPUR,317,GRPA
21,KALIMPONG,702,GRPA
22,JHARGRAM,703,GRPA
5,PURBA BARDHAMAN,306,GRPB
13,JALPAIGURI,314,GRPB
20,ALIPURDUAR,664,GRPB
23,PASCHIM BARDHAMAN,704,GRPB
2,NORTH 24 PARGANAS,303,GRPC
3,SOUTH 24 PARGANAS,304,GRPC
6,BIRBHUM,307,GRPC
9,DAKSHIN DINAJPUR,310,GRPC
7,COOCH BEHAR,308,GRPD
10,UTTAR DINAJPUR,311,GRPD
14,MALDAH,316,GRPD
19,PURULIA,321,GRPD
4,BANKURA,305,GRPE
11,HOOGHLY,312,GRPE
16,PASCHIM MEDINIPUR,318,GRPE
17,MURSHIDABAD,319,GRPE
12,HOWRAH,313,GRPF
18,NADIA,320,GRPF
24,KOLKATA,35,GRPF
